Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,Allergies,Food not allowed
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,Yes,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,Oral Allergy Syndrome,Carrot
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Maybe,Weekend (Sat & Sun),45 minutes,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Language barrier is also one major issue. Moslty these delivery boys are only familiar with Kanada which creates a problem while addressing any issue.,Milk allergy / Lactose intolerance,Whey
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Slightly Important,Unimportant,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Yes,Nil,Milk allergy / Lactose intolerance,Sunflower seed
21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Disagree,Strongly Agree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,Peanut Allergy,Ghrkin
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,12.9438,77.5738,560004,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Moderately Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Very Important,Yes,NIL,Fish Allergy,Goat
24,Female,Single,Student,No Income,Post Graduate,6,12.8893,77.6399,560068,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL,Hypersensitivity,Cauliflower
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,No,Anytime (Mon-Sun),60 minutes,Neutral,Neutral,Agree,Agree,Agree,No,Unimportant,Unimportant,Unimportant,Slightly Important,Very Important,Moderately Important,Important,Important,Yes,NIL,Fish Allergy,Pineapple
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,Agree,Neutral,Yes,Important,Very Important,Slightly Important,Important,Very Important,Very Important,Very Important,Important,Yes,"Spillage, bad packaging and missing items ",Poultry Allergy,Loquat
25,Male,Single,Student,No Income,Graduate,4,12.8988,77.5764,560078,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Yes,Slightly Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Once my order from kfc got exchanged with someone else. Fault was delivery boy's. ,Lactose Intolerance,Corn oil
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,12.9783,77.6408,560038,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Disagree,Neutral,Neutral,Neutral,Yes,Slightly Important,Very Important,Slightly Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,,Rapeseed
